HASH,PRODUCTS,COUNT
226,"('PRD0903788', 'PRD0903074')",8
228,"('PRD0903993', 'PRD0904976')",8
385,"('PRD0904358', 'PRD0900159')",8
122,"('PRD0904945', 'PRD0903678')",8
149,"('PRD0900830', 'PRD0902840')",8
239,"('PRD0900830', 'PRD0901672')",8
259,"('PRD0900830', 'PRD0903399')",8
417,"('PRD0900830', 'PRD0904044')",8
257,"('PRD0903993', 'PRD0903074')",8
368,"('PRD0903993', 'PRD0904887')",8
552,"('PRD0903993', 'PRD0902029')",8
290,"('PRD0903678', 'PRD0903399')",8
414,"('PRD0902540', 'PRD0904887')",8
275,"('PRD0902840', 'PRD0900121')",8
665,"('PRD0903228', 'PRD0901278')",8
543,"('PRD0900121', 'PRD0904044')",8
555,"('PRD0901265', 'PRD0901878')",8
362,"('PRD0900121', 'PRD0903846')",8
586,"('PRD0900121', 'PRD0901878')",8
391,"('PRD0902671', 'PRD0903399')",8
670,"('PRD0904976', 'PRD0900531')",8
594,"('PRD0901060', 'PRD0904723')",8
433,"('PRD0903846', 'PRD0903399')",8
602,"('PRD0903074', 'PRD0904723')",8
897,"('PRD0904723', 'PRD0902029')",8
171,"('PRD0903993', 'PRD0901265')",9
507,"('PRD0904358', 'PRD0900531')",9
122,"('PRD0900830', 'PRD0902540')",9
236,"('PRD0900830', 'PRD0903846')",9
202,"('PRD0903993', 'PRD0900121')",9
361,"('PRD0900121', 'PRD0901060')",9
217,"('PRD0904945', 'PRD0900121')",9
613,"('PRD0901265', 'PRD0900531')",9
266,"('PRD0903678', 'PRD0901060')",9
569,"('PRD0904976', 'PRD0904044')",9
291,"('PRD0900173', 'PRD0901672')",9
399,"('PRD0900173', 'PRD0902929')",9
481,"('PRD0902540', 'PRD0904723')",9
320,"('PRD0900121', 'PRD0902671')",9
713,"('PRD0904887', 'PRD0904723')",9
727,"('PRD0901265', 'PRD0901383')",9
813,"('PRD0903074', 'PRD0901383')",9
1040,"('PRD0900531', 'PRD0901278')",9
148,"('PRD0903788', 'PRD0903052')",10
171,"('PRD0903788', 'PRD0900121')",10
449,"('PRD0904358', 'PRD0901878')",10
448,"('PRD0900830', 'PRD0901887')",10
538,"('PRD0900830', 'PRD0902029')",10
267,"('PRD0903678', 'PRD0903846')",10
473,"('PRD0900173', 'PRD0904723')",10
512,"('PRD0900173', 'PRD0901878')",10
512,"('PRD0901265', 'PRD0904044')",10
238,"('PRD0903228', 'PRD0901265')",10
324,"('PRD0903228', 'PRD0903074')",10
252,"('PRD0902840', 'PRD0903052')",10
719,"('PRD0903074', 'PRD0902029')",10
331,"('PRD0901265', 'PRD0903846')",10
499,"('PRD0904976', 'PRD0902929')",10
758,"('PRD0900121', 'PRD0901383')",10
375,"('PRD0902671', 'PRD0903074')",10
765,"('PRD0903074', 'PRD0901278')",10
248,"('PRD0902540', 'PRD0900121')",11
573,"('PRD0904976', 'PRD0904723')",11
621,"('PRD0904358', 'PRD0901383')",11
518,"('PRD0900830', 'PRD0900531')",11
187,"('PRD0901348', 'PRD0901265')",11
289,"('PRD0901265', 'PRD0902671')",11
180,"('PRD0903678', 'PRD0902840')",11
633,"('PRD0901265', 'PRD0902029')",11
877,"('PRD0904723', 'PRD0900531')",11
76,"('PRD0900830', 'PRD0903993')",12
138,"('PRD0904358', 'PRD0902840')",12
225,"('PRD0904358', 'PRD0903846')",12
248,"('PRD0904358', 'PRD0903399')",12
385,"('PRD0900121', 'PRD0903399')",12
194,"('PRD0904945', 'PRD0903052')",12
235,"('PRD0900830', 'PRD0901060')",12
448,"('PRD0903678', 'PRD0904044')",12
584,"('PRD0900830', 'PRD0901278')",12
1069,"('PRD0903052', 'PRD0902322')",12
664,"('PRD0900121', 'PRD0902029')",12
225,"('PRD0903678', 'PRD0902671')",13
92,"('PRD0900830', 'PRD0901348')",13
217,"('PRD0902540', 'PRD0901265')",13
174,"('PRD0903678', 'PRD0903228')",13
480,"('PRD0900121', 'PRD0904887')",13
710,"('PRD0900121', 'PRD0901278')",13
395,"('PRD0904976', 'PRD0903074')",13
527,"('PRD0904358', 'PRD0902029')",14
354,"('PRD0900830', 'PRD0904887')",14
269,"('PRD0903228', 'PRD0900121')",14
270,"('PRD0903678', 'PRD0901672')",14
427,"('PRD0903678', 'PRD0900159')",14
547,"('PRD0900121', 'PRD0904723')",14
34,"('PRD0903788', 'PRD0904358')",15
65,"('PRD0904358', 'PRD0903993')",15
224,"('PRD0904358', 'PRD0901060')",15
347,"('PRD0900830', 'PRD0902929')",15
107,"('PRD0903993', 'PRD0903678')",15
569,"('PRD0903678', 'PRD0902029')",15
663,"('PRD0903678', 'PRD0901383')",15
997,"('PRD0903678', 'PRD0902322')",15
473,"('PRD0900121', 'PRD0902929')",15
520,"('PRD0903052', 'PRD0904044')",15
111,"('PRD0904358', 'PRD0902540')",16
